Tr ID,Tr Date,Cust ID,Instore Flg,Product ID,Quantity
2896,2019-04-22,262,Y,50,2
2922,2019-04-22,678,Y,54,2
2977,2019-04-22,242,Y,49,2
3044,2019-04-22,545,Y,51,1
3070,2019-04-22,16,N,41,1
3070,2019-04-22,16,N,79,1
3077,2019-04-22,476,Y,37,2
3108,2019-04-22,732,Y,55,2
3191,2019-04-22,686,N,41,1
3217,2019-04-22,667,N,60,2
3239,2019-04-22,579,Y,51,2
3242,2019-04-22,652,Y,45,2
3249,2019-04-22,513,N,44,2
3270,2019-04-22,531,N,23,2
3299,2019-04-22,282,Y,46,1
3301,2019-04-22,620,Y,51,2
3324,2019-04-22,173,N,49,2
3351,2019-04-22,624,Y,41,1
3359,2019-04-22,347,Y,34,1
3359,2019-04-22,347,Y,72,1
3439,2019-04-22,500,N,24,2
3453,2019-04-22,690,N,47,2
3456,2019-04-22,410,N,44,1
3494,2019-04-22,279,Y,32,2
3515,2019-04-22,420,N,51,2
3546,2019-04-22,285,N,28,2
3556,2019-04-22,186,N,61,1
3556,2019-04-22,186,N,78,1
3559,2019-04-22,259,Y,54,2
3618,2019-04-22,329,Y,35,1
3633,2019-04-22,381,N,45,2
3653,2019-04-22,704,Y,24,1
3671,2019-04-22,204,Y,43,2
3672,2019-04-22,489,N,44,2
3688,2019-04-22,502,N,37,2
3711,2019-04-22,433,N,42,2
3722,2019-04-22,658,Y,39,2
3722,2019-04-22,658,Y,73,1
3725,2019-04-22,485,Y,48,1
3741,2019-04-22,205,N,28,2
3760,2019-04-22,19,Y,57,1
3775,2019-04-22,657,N,37,1
3775,2019-04-22,657,N,77,1
3792,2019-04-22,2,N,22,2
3792,2019-04-22,2,N,70,1
3843,2019-04-22,789,Y,27,1
3855,2019-04-22,585,Y,23,2
3873,2019-04-22,769,N,46,2
3875,2019-04-22,450,N,53,2
3875,2019-04-22,450,N,73,1
3889,2019-04-22,584,Y,56,2
3953,2019-04-22,447,N,34,1
4001,2019-04-22,479,Y,33,2
4008,2019-04-22,716,N,49,1
4029,2019-04-22,410,Y,36,2
4062,2019-04-22,539,Y,51,1
4105,2019-04-22,22,Y,60,2
4105,2019-04-22,22,Y,71,1
4157,2019-04-22,83,Y,52,1
4174,2019-04-22,661,N,24,1
2904,2019-04-23,212,N,30,1
2915,2019-04-23,126,Y,60,1
2917,2019-04-23,33,N,25,1
2921,2019-04-23,554,Y,36,2
2935,2019-04-23,800,Y,34,1
2981,2019-04-23,73,N,30,2
2981,2019-04-23,73,N,77,1
