Order ID,Product Sku,Product Name,Quantity,Total Amount
1252,21859TS,"Ваза для цветов стеклянная Флора Pasabahce Голубой Бамбук, 43966/",1,239.0
1252,24554LEX,"Коврик придверный влаговпитывающий ребристый из полимерных материалов 90х120 см серый, Vortex, K041",1,1099.0
1252,36957RUN,"Корзина пластиковая для белья круглая с крышкой 15л. Ротанг белая 2512/6, Виолет",1,399.0
1253,11636Х,"Таз пластмассовый 32,0 л с ручками ""Полимербыт"" С202, 1404052",1,519.0
1253,11642Х,"Таз пластмассовый строительный круглый 40 л, 1404062",1,409.0
1254,43351RUN,Гладильная доска НИКА SOPHY КОРИЦА HSK 123х46 см,1,2999.0
1255,1398,"Пеларгония зональная 10-12 листов Flower Fairy Berry, D12, H25-30, малиновая с красным, полумахровая",1,200.0
1255,1434,"Пеларгония зональная 10-12 листов Ronja, D12, H25-30, ярко красная, махровая",1,200.0
1256,42503TS,Тележка багажная DELTA ТБР-22 синий грузоподъемность 20 кг сумка и 50 кг каркас РОССИЯ,1,899.0
1257,43404RUN,Сушилка для белья ЛИАНА ЛЮКС 110 см потолочная,1,519.0
1258,42385TS,Сито-дуршлаг WEBBER ВЕ-7300 из нержавеющей стали d-26 см,1,319.0
1259,35059RML,"Ковер придверный ""MULTY RUS"" 120х180см., черный, РР204/01023",1,2599.0
1260,37356BZ,"Нож для фруктов SPRING GREEN 9 см, Attribute, AKZ109",3,318.24
1261,11759Х,"Стакан пластмассовый 300 мл, конус. (К-308) ""Пластхозторг"", 1405007",1,39.0
1261,33889RUN,"Этажерка 2 для обуви узкая 4 полки, медный, ЭТ2, НИКА",1,989.0
1261,11350Х,"Салфетка -коврик для сушки посуды 31х26 см, 1214130",1,49.0
1261,11763Х,"Тарелка пластмассовая д-170 мм, (S-715) ""Пластхозторг"", 1405014",1,39.0
1262,11758Х,"Стакан мерный 40203, 250 мл, 1405048",1,29.0
1263,6030003 — 00229RUN,Гладильная доска Gimi Eden,1,3099.0
1264,6100003 - 00476RUN,Сумка-тележка хозяйственная Gimi Bella синяя,1,1199.0
1264,42575RUN,Сумка-тележка хозяйственная Gimi Bella серая,1,1199.0
1265,42931SXP,Чехол для гладильной доски I LOVE GIMI 136х58 см из хлопка 3804,2,1298.0
1266,42503TS,Тележка багажная DELTA ТБР-22 синий грузоподъемность 20 кг сумка и 50 кг каркас РОССИЯ,1,899.0
1267,6030003 - 00237SXP,"Гладильная доска-стремянка 95х33 см, 848N, DASCH",1,4199.0
1268,1995ASS,Горох Авола 10 г,1,12.0
1268,2106ASS,Томат Маруся 10 шт,1,12.0
1268,2110ASS,"Укроп Кустистый 3,0 г",1,12.0
1268,2111ASS,Укроп Мамонт 3 г,1,12.0
1269,43223KAR,Чехол Eurogold Clean Metallic металлизированый с поролоном для досок 110х30-114x34 см C34F3M,1,329.0
1270,23038RUN,"Гладильная доска Roma напольная стальная 122х38 см с полкой для белья и подставкой под утюг, Gimi",1,3999.0
1271,43218KAR,Доска гладильная Eurogold Professional 130х48 см металлическая сетка 35748W,1,4399.0
1272,43255KAR,Перчатки Vileda Стайл L 133672 100% латекс с хлопковым напылением,1,179.0
1273,24409LTR,"Чехол хлопковый для гладильной доски всех типов 0,2х135Х49 см серебряный, Brabantia, 317309",1,1749.0
1274,24431LTR,"Набор стальных контейнеров с окном 3 предмета 1,4 л 17,5х11 см, белый, Brabantia, 151224",1,2300.0
1275,43404RUN,Сушилка для белья ЛИАНА ЛЮКС 110 см потолочная,1,519.0
1276,43094KAR,Подкладка под чехол Zalger 520114 135х50 см войлок,1,169.0
1276,42931SXP,Чехол для гладильной доски I LOVE GIMI 136х58 см из хлопка 3804,1,649.0
1277,40806,Искусственный цветок Роза с закрытым бутоном 52 см цвет в ассортименте,1,27.0
1278,21422RUN,"Сумка-тележка TWIN стальной каркас 56 л синяя, Gimi",1,2749.0
1279,6050003 - 00446RUN,Сушилка для белья Gimi Dinamik 30,1,2999.0
1280,30831BZ,"Сушилка ПРИМА 20м синяя (1079000320123), Attribute, ADP220",1,1349.0
1281,37519,"Комнатное растение в горшке Аспарагус Мейера, d12, h30",1,299.0
1282,8338VAL,"Муляж Банан, желтый, 21 см, полиуретан, Fancy Fair/ff XJ210",1,79.0
1283,4827RUN,Сумка-тележка 2-х колесная Gimi Argo черная,1,1519.0
1284,33882RUN,"Банкетка для обуви 3 полки, черный, Б1, НИКА",1,1149.0
1285,6050005 - 01779PRS,"Сушилка для белья на стену Leifheit Telegant 70, белая, 83306",1,3499.0
1286,6050003 - 00465SXP,Сушилка для белья настенная Gimi Rotor-6 New,1,819.0
1287,4013RML,"Коврик с вырезом под унитаз ""Дюна-1"", 50x50, ворс 1,2, цвет зеленый",1,639.0
1288,33554SRV,"Сумка-тележка хозяйственная Rolser Saquet LN RD6 с системой подъема по ступеням, фиолетовая SAQ006 malva RD6",1,7029.0
1289,1403,"Пеларгония зональная взрослое растение с цветами Bernd, D12, H25-30, красная, махровая",1,300.0
1290,33742RUN,"Сумка-тележка складная Подружка-3, СП0342, ПЭМБИ",1,1399.0
1291,12131Х,"Скалка деревянная (Бук) с 2-я вращающимися ручками малая, 1216410",1,149.0
1292,41933TS,Сито М1268 в раковину,1,29.0
1292,7010103 - 00364SXP,"Коврик Primavera Print 40х60 см, Зеленый",1,180.0
1292,44709TS,Разделочная доска WEBBER РД-00053 из бамбука 28х18х1 см,1,179.0
1292,11544Х,"Стакан на присоске С181, 1215152",1,59.0
1292,11658Х,"Воронка пищевая д-10 см, ИНС 0655, 1405131",1,19.0
1292,11660Х,"Воронка пищевая д-12 см С254, 1405004",1,29.0
1292,11897Х,"Доска разделочная пластмас. прямоуг. 34,5х18см 1216254",1,179.0
1292,44265BZ,Пакет для завтрака 50 шт УТ-00002758 NSYT00002758,1,29.0
1292,44034RUN,"Контейнер для овощей Полимербыт 11,2 л 4382100",1,289.0
1292,12111Х,"Решетка пластмассовая в мойку М1151, 1216429",1,79.0
1292,42614SXP,Коврик Sochi 36х57 см черный 5795,1,159.0
1292,12178Х,"Хлебница пластмасовая малая 3.0 л Р1672, 1216270",1,569.0
1292,11462Х,"Мыльница пластмассовая настольная С778, 1215279",1,49.0
1292,14726AST,"Плед флисовый Wellness WP135-Орлеан, 100% полиэстер, 130х150 см, 2000000160863",1,639.0
1292,14788AST,Подушка Wellness Platinum WP44-Ливерпуль квадратная 100% полиэстер 40х40 см 2000000138107,1,319.0
1292,14800AST,Подушка Wellness Platinum WP44-Атланта 15 квадратная 100% полиэстер 40х40 см 2000000182087,1,319.0
1292,15584AST,"Набор кухонных полотенец Эконом_3, 100% хлопок 230 г/м2, 43х73 см, 2 шт, разноцветная клетка, Wellness, 4630005368025",1,199.0
1292,42382TS,"Сито-дуршлаг WEBBER ВЕ-7313 из нержавеющей стали d-18,5 см с пластиковой ручкой",1,189.0
1292,15587AST,"Полотенце кухонное Норвегия mix, 100% хлопок 230 г/м2, 40х60 см, 2 шт, бежевое, Wellness, 4690659990621",1,169.0
1292,36370TS,Коврик универсальный противоскользящий 31*26см бежевый 12MP-028,1,49.0
1292,42031TS,Комплект для влажной уборки МОП SV3076,1,549.0
1292,39899TS,"Набор подставок под горячее из бамбука ""MAGIC PRICE"" 2 шт под горячее 15 см, 12MP-019",1,40.0
1292,41922TS,Сушилка для столовых приборов Лилия ПЦ1564МР 3х-секционная серая,1,119.0
1292,40655TS,Терка WEBBER из нержавеющей стали ВЕ-049 4 грани 15 см с ручкой под дерево,1,199.0
1292,11350Х,"Салфетка -коврик для сушки посуды 31х26 см, 1214130",1,49.0
1293,24256X,"Мантоварка алюминиевая 6,0 л 3 сетки Белая Калитва, Хозлэнд, 1502074",1,1899.0
