Ad System,Day,Campaign ID,Group ID,Ad ID,Keyword ID,Cost,Shows,Clicks
yandex.direct,2019-03-04,1329647,167879043,408702043,572136033,0.0,5,0
yandex.direct,2019-03-04,1329643,167879089,408701815,572134117,0.0,10,0
yandex.direct,2019-03-04,1329609,167879301,408702095,572132969,0.0,9,0
yandex.direct,2019-03-04,1329643,167879093,408701825,572134187,0.0,43,0
yandex.direct,2019-03-04,1329635,167879145,408701577,572134363,171.97,4,1
yandex.direct,2019-03-04,1329639,167879127,408702057,572134307,0.0,1,0
google.adwords,2019-03-04,1329665,167881505,414199085,572141595,0.0,1,0
google.adwords,2019-03-04,1329691,167881575,414199215,572141915,30.0,1,1
yandex.direct,2019-03-04,1329615,167879069,414198655,572134069,0.0,3,0
yandex.direct,2019-03-04,1329613,167879309,414198629,572135461,0.0,1,0
yandex.direct,2019-03-04,1329641,167879355,408701483,572133145,0.0,6,0
yandex.direct,2019-03-04,1329633,167879417,408701669,572133479,0.0,1,0
yandex.direct,2019-03-04,1329611,167879061,408702091,572133909,0.0,1,0
yandex.direct,2019-03-04,1329615,167879063,414198639,572133923,0.0,20,0
yandex.direct,2019-03-04,1329623,167879329,408701735,572135643,0.0,1,0
yandex.direct,2019-03-04,1329641,167879333,408701415,572133005,0.0,2,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132517,0.0,6,0
yandex.direct,2019-03-04,1329615,167879073,414198663,572134079,0.0,4,0
yandex.direct,2019-03-04,1329625,167879081,408701699,572132383,0.0,58,0
yandex.direct,2019-03-04,1329647,167879033,408702067,572135953,0.0,71,0
yandex.direct,2019-03-04,1329639,167879127,408702053,572134309,0.0,1,0
yandex.direct,2019-03-04,1329629,167879133,408701923,572132787,90.83,2140,8
yandex.direct,2019-03-04,1329611,167879047,408702099,572133839,0.0,2,0
yandex.direct,2019-03-04,1329609,167879305,408701521,572133001,0.0,2,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132433,38.88,33,1
yandex.direct,2019-03-04,1329619,167879361,408701385,572133177,109.65,49,2
google.adwords,2019-03-04,1329701,167881739,414199515,572139939,0.0,1,0
yandex.direct,2019-03-04,1329625,167879081,408701701,572132387,0.0,3,0
yandex.direct,2019-03-04,1329631,167879271,408701357,572135213,0.0,2,0
google.adwords,2019-03-04,1329701,167881719,414199499,572141635,15.59,2,1
yandex.direct,2019-03-04,1329633,167879437,408701755,572133635,0.0,3,0
google.adwords,2019-03-04,1329705,167881793,414199625,572141493,0.0,3,0
yandex.direct,2019-03-04,1329631,167879217,408701251,572134823,5.34,4,1
yandex.direct,2019-03-04,1329647,167879043,408702043,572136043,0.0,19,0
yandex.direct,2019-03-04,1329635,167879163,408701617,572134549,0.0,2,0
yandex.direct,2019-03-04,1329633,167879401,408701625,572133417,0.0,1,0
yandex.direct,2019-03-04,1329635,167879165,408701619,572134595,59.34,2,1
yandex.direct,2019-03-04,1329631,167879257,408701331,572135089,12.11,1,1
yandex.direct,2019-03-04,1329635,167879163,408701615,572134549,0.0,1,0
yandex.direct,2019-03-04,1329619,167879363,408701389,572133187,44.18,14,1
google.adwords,2019-03-04,1329665,167881507,414199077,572139535,0.0,5,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132421,0.0,19,0
yandex.direct,2019-03-04,1329635,167879149,414198675,572134389,366.79,18,4
yandex.direct,2019-03-04,1329631,167879233,408701281,572134955,0.0,1,0
yandex.direct,2019-03-04,1329625,167879085,408701709,572132431,0.0,16,0
yandex.direct,2019-03-04,1329615,167879063,414198639,572133929,0.0,16,0
yandex.direct,2019-03-04,1329635,167879139,408701565,572134339,0.0,1,0
google.adwords,2019-03-04,1329687,167881423,414198885,572141151,199.22,1,1
yandex.direct,2019-03-04,1329637,167879369,408701435,572135893,0.0,5,0
yandex.direct,2019-03-04,1329615,167879069,414198653,572134067,61.28,167,1
yandex.direct,2019-03-04,1329633,167879389,408701557,572133369,10.11,9,1
