ID,Season,Date,Home Team Api ID,Away Team Api ID,Home Team Goals,Away Team Goals
1,2008/2009,2008-08-17,9987,9993,1,1
2,2008/2009,2008-08-16,10000,9994,0,0
4,2008/2009,2008-08-17,9991,9998,5,0
5,2008/2009,2008-08-16,7947,9985,1,3
7,2008/2009,2008-08-16,9999,8571,2,2
8,2008/2009,2008-08-16,4049,9996,1,2
11,2008/2009,2008-10-31,9985,9986,1,2
12,2008/2009,2008-11-02,10000,9991,0,2
13,2008/2009,2008-11-01,9994,9998,0,0
15,2008/2009,2008-11-01,8203,9999,1,2
16,2008/2009,2008-11-01,9996,9984,0,1
17,2008/2009,2008-11-01,4049,9987,1,3
20,2008/2009,2008-11-08,9998,9996,0,0
22,2008/2009,2008-11-07,9984,10000,2,0
23,2008/2009,2008-11-08,9991,7947,1,1
24,2008/2009,2008-11-08,9999,4049,1,2
25,2008/2009,2008-11-08,8571,8203,0,0
27,2008/2009,2008-11-09,9993,9985,1,3
29,2008/2009,2008-11-15,9987,9999,1,1
30,2008/2009,2008-11-15,10000,9993,2,2
31,2008/2009,2008-11-16,9994,9985,1,1
32,2008/2009,2008-11-15,7947,8571,1,0
33,2008/2009,2008-11-15,8203,9998,0,0
34,2008/2009,2008-11-15,9996,9986,2,1
35,2008/2009,2008-11-15,4049,9984,3,0
38,2008/2009,2008-11-22,9985,9996,3,1
40,2008/2009,2008-11-22,9986,4049,3,2
41,2008/2009,2008-11-22,9984,8203,2,1
42,2008/2009,2008-11-23,9991,9987,2,3
43,2008/2009,2008-11-22,9999,7947,2,2
44,2008/2009,2008-12-16,8571,10000,1,0
45,2008/2009,2008-11-22,9993,9994,0,2
47,2008/2009,2008-11-29,9987,9984,3,2
48,2008/2009,2008-11-29,10000,9986,4,2
49,2008/2009,2008-11-29,9991,9999,4,0
51,2008/2009,2008-11-30,8203,9985,0,0
52,2008/2009,2008-11-29,9996,9994,2,0
53,2008/2009,2008-11-29,4049,8571,3,3
56,2008/2009,2008-12-06,9985,10000,1,2
57,2008/2009,2008-12-06,9998,7947,5,2
58,2008/2009,2008-12-06,9986,8203,1,2
59,2008/2009,2008-12-05,9984,9991,3,1
62,2008/2009,2008-12-07,8571,9987,3,1
63,2008/2009,2008-12-06,9993,9996,3,0
65,2008/2009,2008-12-13,9987,9986,1,0
66,2008/2009,2008-12-13,10000,9996,2,1
67,2008/2009,2008-12-13,9991,8571,1,1
68,2008/2009,2008-12-13,7947,9994,1,1
69,2008/2009,2008-12-12,8203,9993,2,1
71,2008/2009,2008-12-13,4049,9998,2,1
74,2008/2009,2008-12-21,9985,9991,2,1
75,2008/2009,2008-12-20,9998,10000,2,2
76,2008/2009,2008-12-20,9986,7947,2,0
77,2008/2009,2008-12-20,9984,9999,4,3
78,2008/2009,2008-12-20,9994,8203,2,2
81,2008/2009,2008-12-20,9993,4049,2,0
82,2008/2009,2009-01-18,9993,9987,4,1
83,2008/2009,2009-01-17,9994,10000,2,1
85,2008/2009,2009-01-17,9998,9991,1,2
86,2008/2009,2009-01-17,9985,7947,3,2
88,2008/2009,2009-01-17,8571,9999,2,1
89,2008/2009,2009-01-17,9996,4049,1,1
94,2008/2009,2009-01-24,9987,9998,2,0
95,2008/2009,2009-01-24,9999,9986,3,1
96,2008/2009,2009-01-24,4049,9994,2,1
97,2008/2009,2009-01-24,8203,9996,2,2
98,2008/2009,2009-01-24,9984,8571,0,1
99,2008/2009,2009-01-24,7947,9993,0,1
103,2008/2009,2008-08-24,9998,9987,3,1
104,2008/2009,2008-08-23,9986,9999,1,0
105,2008/2009,2008-08-23,9994,4049,4,1
106,2008/2009,2008-08-23,9996,8203,3,1
107,2008/2009,2008-08-23,8571,9984,2,1
108,2008/2009,2008-08-23,9993,7947,1,1
110,2008/2009,2009-02-01,9994,9987,1,2
111,2008/2009,2009-01-31,9998,9984,1,1
112,2008/2009,2009-02-01,9986,9991,2,5
113,2008/2009,2009-01-31,9996,7947,0,2
114,2008/2009,2009-01-31,10000,8203,1,1
115,2008/2009,2009-01-31,9985,9999,3,0
119,2008/2009,2009-02-06,8571,9985,0,2
121,2008/2009,2009-02-07,9987,10000,1,2
122,2008/2009,2009-02-08,9984,9986,2,2
124,2008/2009,2009-02-07,4049,8203,1,5
125,2008/2009,2009-02-07,9991,9996,2,0
126,2008/2009,2009-02-07,9999,9993,2,2
129,2008/2009,2009-02-14,9993,9984,1,1
130,2008/2009,2009-02-14,8203,9991,3,3
131,2008/2009,2009-02-14,10000,7947,1,0
132,2008/2009,2009-02-14,9994,9999,2,1
133,2008/2009,2009-02-14,9998,8571,1,1
134,2008/2009,2009-02-14,9985,4049,4,0
138,2008/2009,2009-02-21,9999,9998,3,2
139,2008/2009,2009-02-21,4049,10000,0,6
140,2008/2009,2009-02-21,8571,9986,1,1
141,2008/2009,2009-02-21,9984,9994,0,0
142,2008/2009,2009-02-21,7947,8203,1,2
143,2008/2009,2009-02-20,9987,9996,1,1
144,2008/2009,2009-02-21,9991,9993,1,3
146,2008/2009,2009-02-27,8203,9987,2,1
147,2008/2009,2009-02-28,9986,9998,3,0
148,2008/2009,2009-03-01,9985,9984,4,0
149,2008/2009,2009-03-01,9994,9991,0,1
151,2008/2009,2009-02-28,9993,8571,3,0
152,2008/2009,2009-02-28,7947,4049,4,0
155,2008/2009,2009-03-06,9998,9985,0,1
157,2008/2009,2009-03-07,8571,9994,2,3
158,2008/2009,2009-03-07,9987,7947,4,3
160,2008/2009,2009-03-07,9999,9996,2,0
161,2008/2009,2009-03-07,9991,4049,2,0
162,2008/2009,2009-03-07,9986,9993,0,0
164,2008/2009,2009-03-15,9985,9987,2,0
165,2008/2009,2009-03-14,9993,9998,2,0
166,2008/2009,2009-03-14,9994,9986,0,0
167,2008/2009,2009-03-14,7947,9984,1,0
169,2008/2009,2009-03-14,10000,9999,0,0
170,2008/2009,2009-03-14,9996,8571,1,0
173,2008/2009,2009-03-22,9986,9985,1,0
174,2008/2009,2009-03-22,9991,10000,1,0
175,2008/2009,2009-03-21,9998,9994,0,2
177,2008/2009,2009-03-21,9999,8203,1,0
178,2008/2009,2009-03-21,9984,9996,0,1
179,2008/2009,2009-03-21,9987,4049,3,0
182,2008/2009,2009-04-04,9996,9998,3,2
184,2008/2009,2009-04-04,10000,9984,3,1
185,2008/2009,2009-04-04,7947,9991,1,1
186,2008/2009,2009-04-04,4049,9999,0,1
187,2008/2009,2009-04-04,8203,8571,1,1
189,2008/2009,2009-04-05,9985,9993,3,1
191,2008/2009,2009-04-10,9999,9987,1,0
192,2008/2009,2009-04-11,9993,10000,1,2
193,2008/2009,2009-04-11,9985,9994,1,0
194,2008/2009,2009-04-11,8571,7947,1,2
195,2008/2009,2009-04-11,9998,8203,0,1
196,2008/2009,2009-04-11,9986,9996,1,0
197,2008/2009,2009-04-11,9984,4049,4,1
200,2008/2009,2008-08-30,9987,9994,1,0
201,2008/2009,2008-08-30,9984,9998,2,1
202,2008/2009,2008-08-31,9991,9986,2,0
203,2008/2009,2008-08-30,7947,9996,1,2
204,2008/2009,2008-08-30,8203,10000,0,2
205,2008/2009,2008-08-31,9999,9985,1,1
209,2008/2009,2009-04-18,9996,9985,0,3
211,2008/2009,2009-04-18,4049,9986,3,1
212,2008/2009,2009-04-18,8203,9984,0,1
213,2008/2009,2009-04-17,9987,9991,2,2
214,2008/2009,2009-04-19,7947,9999,3,1
215,2008/2009,2009-04-18,10000,8571,5,1
216,2008/2009,2009-04-18,9994,9993,1,0
218,2008/2009,2009-04-26,9984,9987,1,2
219,2008/2009,2009-04-25,9986,10000,1,0
220,2008/2009,2009-04-26,9999,9991,1,3
222,2008/2009,2009-04-25,9985,8203,4,1
223,2008/2009,2009-04-25,9994,9996,3,0
224,2008/2009,2009-04-25,8571,4049,2,2
227,2008/2009,2009-05-02,10000,9985,0,0
228,2008/2009,2009-05-02,7947,9998,0,0
229,2008/2009,2009-05-02,8203,9986,2,1
230,2008/2009,2009-05-02,9991,9984,2,1
233,2008/2009,2009-05-03,9987,8571,0,1
234,2008/2009,2009-05-02,9996,9993,3,1
236,2008/2009,2009-05-09,9986,9987,3,0
237,2008/2009,2009-05-09,9996,10000,0,2
238,2008/2009,2009-05-09,8571,9991,0,2
239,2008/2009,2009-05-09,9994,7947,0,2
240,2008/2009,2009-05-08,9993,8203,3,1
242,2008/2009,2009-05-09,9998,4049,1,1
245,2008/2009,2009-05-16,9991,9985,0,1
246,2008/2009,2009-05-16,10000,9998,3,0
247,2008/2009,2009-05-16,7947,9986,1,2
248,2008/2009,2009-05-16,9999,9984,1,2
249,2008/2009,2009-05-15,8203,9994,3,0
252,2008/2009,2009-05-16,4049,9993,1,0
254,2008/2009,2008-09-13,9985,8571,2,0
256,2008/2009,2008-09-14,10000,9987,1,3
257,2008/2009,2008-09-14,9986,9984,3,2
259,2008/2009,2008-09-13,8203,4049,0,0
260,2008/2009,2008-09-13,9996,9991,4,2
261,2008/2009,2008-09-13,9993,9999,3,0
264,2008/2009,2008-09-20,9984,9993,1,0
265,2008/2009,2008-09-20,9991,8203,1,2
266,2008/2009,2008-09-20,7947,10000,2,0
267,2008/2009,2008-09-20,9999,9994,0,1
268,2008/2009,2008-09-20,8571,9998,1,0
269,2008/2009,2008-09-21,4049,9985,0,1
273,2008/2009,2008-09-27,9998,9999,2,0
274,2008/2009,2008-09-27,10000,4049,1,0
275,2008/2009,2008-09-27,9986,8571,1,2
276,2008/2009,2008-09-27,9994,9984,1,1
277,2008/2009,2008-09-29,8203,7947,4,1
278,2008/2009,2008-09-28,9996,9987,1,2
279,2008/2009,2008-09-28,9993,9991,2,2
281,2008/2009,2008-10-04,9987,8203,2,1
282,2008/2009,2008-10-04,9998,9986,1,1
283,2008/2009,2008-10-05,9984,9985,4,1
284,2008/2009,2008-10-04,9991,9994,1,1
286,2008/2009,2008-10-04,8571,9993,0,0
287,2008/2009,2008-10-04,4049,7947,2,1
290,2008/2009,2008-10-18,9985,9998,2,1
292,2008/2009,2008-10-18,9994,8571,2,0
293,2008/2009,2008-10-18,7947,9987,2,4
295,2008/2009,2008-10-18,9996,9999,2,0
296,2008/2009,2008-10-18,4049,9991,0,1
297,2008/2009,2008-10-18,9993,9986,1,2
299,2008/2009,2008-10-26,9987,9985,0,0
300,2008/2009,2008-10-25,9998,9993,0,0
301,2008/2009,2008-10-25,9986,9994,1,1
302,2008/2009,2008-10-25,9984,7947,1,2
304,2008/2009,2008-10-25,9999,10000,0,3
305,2008/2009,2008-10-24,8571,9996,2,2
307,2009/2010,2009-07-31,9985,9997,2,2
309,2009/2010,2009-08-02,9984,9991,1,3
310,2009/2010,2009-08-01,9994,10000,1,1
313,2009/2010,2009-08-01,9999,9993,1,1
315,2009/2010,2009-10-04,9985,9987,1,0
316,2009/2010,2009-10-03,9997,10000,1,2
317,2009/2010,2009-10-03,9986,8571,3,3
318,2009/2010,2009-10-03,8203,9994,2,0
319,2009/2010,2009-10-03,9999,9984,3,2
323,2009/2010,2009-10-18,9987,8203,1,2
324,2009/2010,2009-10-17,10000,9993,4,0
325,2009/2010,2009-10-17,9994,9984,1,1
326,2009/2010,2009-10-17,8571,9999,2,0
328,2009/2010,2009-10-24,9985,10000,1,1
329,2009/2010,2009-10-24,9997,9991,1,2
331,2009/2010,2009-10-24,9984,8571,1,1
332,2009/2010,2009-10-23,9994,9987,0,2
337,2009/2010,2009-11-02,9987,9984,2,0
338,2009/2010,2009-10-31,10000,9986,2,2
339,2009/2010,2009-11-01,9991,9993,0,1
340,2009/2010,2009-10-31,8571,8203,2,0
344,2009/2010,2009-11-06,9986,9991,0,2
346,2009/2010,2009-11-07,9994,8571,0,0
347,2009/2010,2009-11-07,9999,10000,2,0
348,2009/2010,2009-11-07,9993,9997,4,1
351,2009/2010,2009-11-21,9997,9984,1,1
352,2009/2010,2009-11-22,10000,8203,4,1
353,2009/2010,2009-11-21,9991,9985,2,1
354,2009/2010,2009-11-22,8571,9987,2,1
358,2009/2010,2009-11-29,9997,9985,2,0
359,2009/2010,2009-11-29,10000,9994,1,0
360,2009/2010,2009-11-28,9991,9984,3,1
362,2009/2010,2009-11-28,9993,9999,3,0
363,2009/2010,2009-12-05,9985,9993,2,2
365,2009/2010,2009-12-05,9986,9997,0,0
368,2009/2010,2009-12-05,8571,10000,1,0
369,2009/2010,2009-12-04,8203,9991,2,5
371,2009/2010,2009-12-12,9985,9999,0,1
372,2009/2010,2009-12-12,9997,8571,0,2
373,2009/2010,2009-12-13,10000,9984,1,0
374,2009/2010,2009-12-13,9991,9987,2,1
376,2009/2010,2009-12-12,9993,9986,0,0
378,2009/2010,2009-12-19,9987,10000,2,2
379,2009/2010,2010-02-04,9986,9985,2,3
380,2009/2010,2009-12-19,9994,9991,0,1
382,2009/2010,2010-02-02,8203,9993,1,0
383,2009/2010,2009-12-19,9999,9997,1,2
386,2009/2010,2009-08-08,9997,9986,0,0
387,2009/2010,2009-08-08,10000,9987,2,2
388,2009/2010,2009-08-09,9991,8203,2,1
390,2009/2010,2009-08-07,9993,9985,1,1
392,2009/2010,2009-12-26,9985,9994,2,0
393,2009/2010,2009-12-26,9997,8203,5,2
395,2009/2010,2009-12-26,9986,9999,3,0
397,2009/2010,2009-12-26,9993,9987,1,0
399,2009/2010,2009-12-29,9987,9997,0,0
400,2009/2010,2009-12-29,9984,9985,2,0
401,2009/2010,2009-12-30,9994,9993,2,0
403,2009/2010,2009-12-30,8203,9986,1,0
404,2009/2010,2009-12-30,9999,9991,0,4
407,2009/2010,2010-01-16,9997,9994,2,1
408,2009/2010,2010-01-16,9986,9987,1,3
409,2009/2010,2010-01-15,9991,8571,2,2
410,2009/2010,2010-01-16,9999,8203,1,2
411,2009/2010,2010-01-17,9993,9984,1,4
