Ship ID,Cust ID,Weight,Truck ID,Driver ID,City ID,Ship Date
1000,3660,3528.00,1,23,137,2016-01-08
1001,2001,11394.00,2,23,186,2016-01-18
1002,1669,8712.00,3,27,268,2016-01-19
1003,989,17154.00,4,23,365,2016-01-24
1004,2298,9279.00,5,27,253,2016-01-26
1005,2861,2151.00,6,23,319,2016-01-30
1006,4767,8919.00,7,27,362,2016-02-03
1007,2427,12267.00,8,27,484,2016-02-08
1008,4955,5616.00,9,23,102,2016-02-09
1009,2306,10620.00,10,23,509,2016-02-14
1010,896,3474.00,11,27,510,2016-02-16
1011,1685,2655.00,12,23,516,2016-02-19
1012,615,5490.00,1,27,686,2016-02-22
1013,1669,9279.00,2,23,103,2016-02-26
1014,2427,5697.00,3,21,534,2016-02-29
1015,1769,13536.00,4,27,537,2016-02-29
1016,954,2259.00,5,23,686,2016-03-02
1017,381,4608.00,6,23,302,2016-03-07
1018,954,7407.00,7,27,644,2016-03-07
1019,1849,13212.00,8,21,526,2016-03-07
1020,3161,6570.00,9,24,138,2016-03-10
1021,4426,10386.00,10,27,223,2016-03-13
1022,2181,8370.00,11,21,440,2016-03-15
1023,4353,1935.00,12,24,686,2016-03-15
1024,381,17442.00,1,22,458,2016-03-16
1025,3447,1944.00,2,23,400,2016-03-17
1026,4368,15021.00,3,27,697,2016-03-19
1027,4469,7758.00,4,30,112,2016-03-22
1028,3800,1917.00,5,24,282,2016-03-23
1029,1055,1818.00,6,21,505,2016-03-23
1030,314,7668.00,7,22,671,2016-03-26
1031,626,9126.00,8,23,101,2016-03-27
1032,2799,7317.00,9,24,491,2016-03-28
1033,3447,4896.00,10,27,173,2016-03-28
1034,3174,4509.00,11,26,483,2016-03-31
1035,3203,3015.00,12,30,114,2016-04-01
1036,2429,3465.00,1,22,437,2016-04-01
1037,4415,6525.00,2,21,469,2016-04-02
1038,770,11178.00,3,27,622,2016-04-04
1039,1391,14859.00,4,23,481,2016-04-04
1040,4154,2142.00,5,24,230,2016-04-05
1041,4308,8208.00,6,22,531,2016-04-06
1042,2131,5400.00,7,30,663,2016-04-07
1043,2624,6570.00,8,26,455,2016-04-08
1044,2388,5445.00,9,21,501,2016-04-09
1045,1908,2385.00,10,24,672,2016-04-10
1046,3174,8325.00,11,23,258,2016-04-10
1047,2634,15156.00,12,27,435,2016-04-12
1048,304,15939.00,1,22,282,2016-04-14
1049,2215,6480.00,2,30,681,2016-04-15
1050,4347,5562.00,3,26,265,2016-04-17
1051,4869,8964.00,4,21,226,2016-04-17
1052,931,7929.00,5,27,459,2016-04-18
1053,3346,2970.00,6,24,185,2016-04-20
1054,721,15669.00,7,23,686,2016-04-20
1055,3613,7335.00,8,22,239,2016-04-21
1056,3288,7065.00,9,29,550,2016-04-21
1057,2483,14553.00,10,30,510,2016-04-23
1058,2496,5229.00,11,21,268,2016-04-23
1059,2546,2070.00,12,24,522,2016-04-25
1060,3722,918.00,1,26,546,2016-04-25
1061,4767,2025.00,2,27,672,2016-04-26
1062,1575,5508.00,3,23,554,2016-04-27
1063,600,1836.00,4,22,597,2016-04-28
1064,2593,8172.00,5,29,240,2016-04-29
1065,3354,2160.00,6,24,427,2016-04-30
1066,1591,7488.00,7,30,342,2016-05-01
1067,3346,12267.00,8,21,341,2016-05-03
1068,1775,16299.00,9,26,537,2016-05-04
1069,3430,2196.00,10,22,346,2016-05-04
1070,3537,14265.00,11,29,425,2016-05-04
1071,770,3339.00,12,23,307,2016-05-04
1072,3800,6219.00,1,27,616,2016-05-04
1073,2617,7497.00,2,29,308,2016-05-09
1074,3622,2061.00,3,24,669,2016-05-09
1075,3073,1845.00,4,21,379,2016-05-09
1076,4154,3006.00,5,27,480,2016-05-10
1077,2434,8550.00,6,30,236,2016-05-11
1078,3876,5400.00,7,26,449,2016-05-12
1079,2421,5301.00,8,22,458,2016-05-12
1080,615,5715.00,9,20,518,2016-05-13
1081,626,15507.00,10,24,458,2016-05-14
1082,2306,3969.00,11,23,435,2016-05-14
1083,4112,5265.00,12,28,437,2016-05-15
1084,3360,657.00,1,21,517,2016-05-17
1085,2281,1899.00,2,30,686,2016-05-18
1086,3786,13167.00,3,29,293,2016-05-18
1087,2503,5697.00,4,20,220,2016-05-19
1088,3023,5067.00,5,27,325,2016-05-19
1089,2503,6489.00,6,23,438,2016-05-19
1090,3375,16866.00,7,26,394,2016-05-20
1091,2181,5499.00,8,24,259,2016-05-22
1092,738,2799.00,9,22,520,2016-05-22
1093,2306,16452.00,10,21,565,2016-05-22
1094,2348,2160.00,11,23,500,2016-05-24
1095,721,1152.00,12,26,673,2016-05-25
1096,3073,7290.00,1,29,190,2016-05-25
1097,2421,1035.00,2,28,515,2016-05-25
1098,618,8694.00,3,30,184,2016-05-26
1099,4145,10143.00,4,22,686,2016-05-27
1100,1290,15156.00,5,20,461,2016-05-27
1101,3023,14157.00,6,27,422,2016-05-27
1102,1055,6921.00,7,24,597,2016-05-29
1103,3786,4329.00,8,21,666,2016-05-30
1104,2265,6345.00,9,23,531,2016-05-31
1105,1492,10422.00,10,28,318,2016-06-01
1106,660,4401.00,11,29,686,2016-06-02
1107,3722,17064.00,12,26,473,2016-06-02
1108,2625,7686.00,1,27,264,2016-06-03
1109,3360,6723.00,2,20,561,2016-06-03
1110,493,5652.00,3,25,341,2016-06-04
1111,2496,2385.00,4,30,198,2016-06-05
1112,4561,16164.00,5,24,292,2016-06-05
1113,3203,3177.00,6,22,194,2016-06-06
1114,3023,819.00,7,28,115,2016-06-06
1115,193,10305.00,8,21,415,2016-06-06
1116,4308,6057.00,9,23,548,2016-06-08
1117,4513,3447.00,10,20,320,2016-06-09
1118,2634,5850.00,11,29,354,2016-06-09
1119,1381,9720.00,12,25,686,2016-06-10
1120,2298,2133.00,1,26,595,2016-06-10
1121,3622,3663.00,2,24,228,2016-06-12
1122,2625,16335.00,3,30,591,2016-06-12
1123,4426,3699.00,4,27,356,2016-06-13
1124,2420,972.00,5,22,579,2016-06-14
1125,2265,5769.00,6,29,165,2016-06-15
1126,493,12528.00,7,28,372,2016-06-16
1127,3537,2601.00,8,21,631,2016-06-16
1128,4513,5625.00,9,26,589,2016-06-17
1129,1381,2205.00,10,23,506,2016-06-17
1130,2634,8586.00,11,24,132,2016-06-18
1131,4421,1512.00,12,20,306,2016-06-18
1132,1592,7839.00,1,30,668,2016-06-18
1133,3320,7767.00,2,25,326,2016-06-20
1134,2624,1989.00,3,22,222,2016-06-20
1135,4955,1998.00,4,27,487,2016-06-22
1136,2281,1980.00,5,23,246,2016-06-23
1137,3123,1260.00,6,20,312,2016-06-23
1138,1290,1413.00,7,29,515,2016-06-24
1139,2420,16452.00,8,28,347,2016-06-25
1140,314,2295.00,9,30,311,2016-06-25
1141,2348,7443.00,10,25,321,2016-06-25
1142,618,8028.00,11,26,665,2016-06-25
1143,1849,2133.00,12,21,588,2016-06-26
1144,2503,14301.00,1,22,164,2016-06-28
1145,2181,13698.00,2,24,557,2016-06-28
1146,1575,567.00,3,20,625,2016-06-29
1147,1391,5004.00,4,29,591,2016-06-29
1148,1769,2169.00,5,28,475,2016-06-30
1149,2483,6012.00,6,27,326,2016-06-30
1150,3660,3177.00,7,23,435,2016-07-01
1151,304,11196.00,8,21,471,2016-07-03
1152,954,4743.00,9,26,196,2016-07-03
1153,3613,8190.00,10,30,686,2016-07-04
1154,4145,17226.00,11,25,515,2016-07-04
1155,1724,13563.00,12,22,119,2016-07-05
1156,3613,16758.00,1,27,380,2016-07-05
1157,738,4095.00,2,24,136,2016-07-06
1158,618,16290.00,3,29,552,2016-07-06
1159,1724,6192.00,4,20,165,2016-07-07
1160,193,2151.00,5,25,292,2016-07-09
1161,3354,540.00,6,28,231,2016-07-09
1162,3537,6687.00,7,23,577,2016-07-09
1163,3537,963.00,8,26,429,2016-07-10
1164,2799,5274.00,9,21,666,2016-07-12
1165,3430,1980.00,10,22,276,2016-07-12
