City ID,City Name,State,Population,Area
100,Union City,New Jersey,67088,1.30
101,Huntington Park,California,61348,3.00
102,Passaic,New Jersey,67861,3.10
103,Hempstead,New York,56554,3.70
104,Berwyn,Illinois,54016,3.90
105,East Orange,New Jersey,69824,3.90
106,Somerville,Massachusetts,77478,4.10
107,Mount Vernon,New York,68381,4.40
108,Oak Park,Illinois,52524,4.70
109,Paramount,California,55266,4.70
110,Lynwood,California,69845,4.90
111,Malden,Massachusetts,56340,5.10
112,Rosemead,California,53505,5.10
113,Lakewood,Ohio,56646,5.50
114,Bayonne,New Jersey,61842,5.60
115,Gardena,California,57746,5.80
116,Cicero,Illinois,85616,5.80
117,Bellflower,California,72878,6.10
118,Hawthorne,California,84112,6.10
119,Redondo Beach,California,63261,6.30
120,Cambridge,Massachusetts,101355,6.40
121,Baldwin Park,California,75837,6.70
122,Lawrence,Massachusetts,72043,7.00
123,Miami Beach,Florida,87933,7.00
124,Lauderhill,Florida,57585,7.30
125,La Habra,California,58974,7.30
126,Lancaster,Pennsylvania,56348,7.40
127,National City,California,54260,7.40
128,South Gate,California,96375,7.40
129,Daly City,California,103621,7.60
130,Alhambra,California,85804,7.60
131,Monterey Park,California,60051,7.60
132,Evanston,Illinois,74239,7.70
133,Trenton,New Jersey,85403,7.70
134,Medford,Massachusetts,55765,8.10
135,Montebello,California,62150,8.20
136,Santa Monica,California,84084,8.30
137,Pico Rivera,California,63428,8.30
138,Paterson,New Jersey,149222,8.40
139,North Miami,Florida,59880,8.50
140,Oak Lawn,Illinois,55245,8.60
141,Cerritos,California,51488,8.60
142,Pawtucket,Rhode Island,72958,8.70
143,Camden,New Jersey,79904,8.80
144,Margate,Florida,53909,8.80
145,Fountain Valley,California,54978,8.90
146,South San Francisco,California,60552,9.00
147,Inglewood,California,112580,9.10
148,La Mesa,California,54749,9.30
149,Lakewood,California,79345,9.40
150,El Monte,California,115965,9.60
151,Norwalk,California,103298,9.70
152,Reading,Pennsylvania,81207,9.80
153,White Plains,New York,53077,9.80
154,Skokie,Illinois,63348,10.00
155,Gaithersburg,Maryland,52613,10.10
156,Compton,California,93493,10.10
157,Westminster,California,88207,10.10
158,Mount Prospect,Illinois,56265,10.20
159,New Rochelle,New York,72182,10.40
160,Davis,California,60308,10.50
161,Berkeley,California,102743,10.50
162,Buena Park,California,78282,10.60
163,Taylorsville,Utah,57439,10.70
164,Euclid,Ohio,52717,10.70
165,West Haven,Connecticut,52360,10.80
166,Schenectady,New York,61821,10.80
167,Alameda,California,72259,10.80
168,Wilmington,Delaware,72664,10.80
169,Lynn,Massachusetts,89050,10.80
170,Cupertino,California,50546,10.90
171,Arcadia,California,53054,11.00
172,Wheaton,Illinois,55416,11.20
173,West Allis,Wisconsin,61254,11.30
174,Clifton,New Jersey,78672,11.30
175,Tustin,California,67504,11.40
176,Tamarac,Florida,55588,11.40
177,Florissant,Missouri,50497,11.40
178,St. Clair Shores,Michigan,63096,11.50
179,Dearborn Heights,Michigan,58264,11.70
180,Shoreline,Washington,53025,11.70
181,Royal Oak,Michigan,60062,11.80
182,Mountainew,California,70708,12.10
183,Lodi,California,56999,12.20
184,San Mateo,California,92482,12.20
185,Elizabeth,New Jersey,120568,12.20
186,Downey,California,107323,12.40
187,Santa Cruz,California,54593,12.50
188,Lake Forest,California,58707,12.50
189,Waltham,Massachusetts,59226,12.70
190,Palatine,Illinois,65479,13.00
191,San Leandro,California,79452,13.10
192,New Britain,Connecticut,71538,13.30
193,Turlock,California,55810,13.30
194,Deerfield Beach,Florida,64583,13.40
195,Milpitas,California,62698,13.60
196,Petaluma,California,54548,13.80
197,Lowell,Massachusetts,105167,13.80
198,Sheboygan,Wisconsin,50792,13.90
199,Niagara Falls,New York,55593,14.10
200,Citrus Heights,California,85071,14.30
201,Springfield,Oregon,52864,14.40
202,Des Plaines,Illinois,58720,14.40
203,Whittier,California,83680,14.60
204,El Cajon,California,94869,14.60
205,Laguna Niguel,California,61891,14.70
206,Diamond Bar,California,56287,14.80
207,Newport Beach,California,70032,14.80
208,Sarasota,Florida,52715,14.90
209,Jersey City,New Jersey,240055,14.90
210,Kenner,Louisiana,70517,15.10
211,Upland,California,68393,15.10
212,Alexandria,Virginia,128283,15.20
213,Delray Beach,Florida,60020,15.40
214,Racine,Wisconsin,81855,15.50
215,Pittsburg,California,56769,15.60
216,Costa Mesa,California,108724,15.60
217,Largo,Florida,69371,15.70
218,Boynton Beach,Florida,60389,15.90
219,Huntington,Westrginia,51475,15.90
220,Bridgeport,Connecticut,139529,16.00
221,West Covina,California,105080,16.10
222,Santee,California,52975,16.10
223,Bowie,Maryland,50269,16.10
224,Utica,New York,60651,16.30
225,Beaverton,Oregon,76129,16.30
226,Arlington Heights,Illinois,76031,16.40
227,San Rafael,California,56063,16.60
228,Quincy,Massachusetts,88025,16.80
229,Champaign,Illinois,67518,17.00
230,Renton,Washington,50052,17.00
231,Idaho Falls,Idaho,50730,17.10
232,Clovis,California,68468,17.10
